Model,Accuracy,Precision,Recall,F1,ROC_AUC
RandomForest,0.9787045252883763,0.9510869565217391,0.9210526315789473,0.9358288770053476,0.9965033983036568
XGBoost,0.9813664596273292,0.9668508287292817,0.9210526315789473,0.9433962264150944,0.9911587934617762
LightGBM,0.9804791481810116,0.9666666666666667,0.9157894736842105,0.9405405405405406,0.993057349884851
Ensemble,0.9822537710736469,0.9722222222222222,0.9210526315789473,0.9459459459459459,0.996388249171488
